Year,Month,Day,Population,Residential Properties,Non-residential property,Water_Supplied_inMLD,Industry
2015,4,1,4648199,1223800,332863,1038.2,23.5691
2015,4,2,4648368,1223930,332993,1021.73,
2015,4,3,4648537,1224060,333123,994.75,
2015,4,4,4648706,1224190,333253,1012.91,
2015,4,5,4648875,1224320,333383,1020.29,
2015,4,6,4649044,1224450,333513,992.07,
2015,4,7,4649213,1224580,333643,1038.71,
2015,4,8,4649382,1224710,333773,979.93,
2015,4,9,4649551,1224840,333903,1019.28,
2015,4,10,4649720,1224970,334033,1029.46,
2015,4,11,4649889,1225100,334163,995.65,
2015,4,12,4650058,1225230,334293,1038.77,
2015,4,13,4650227,1225360,334423,1040.71,
2015,4,14,4650396,1225490,334553,1032.04,
2015,4,15,4650565,1225620,334683,1043.19,
2015,4,16,4650734,1225750,334813,1032.02,
2015,4,17,4650903,1225880,334943,1001.26,
2015,4,18,4651072,1226010,335073,1024.36,
2015,4,19,4651241,1226140,335203,1037.84,
2015,4,20,4651410,1226270,335333,1020.64,
2015,4,21,4651579,1226400,335463,1024.62,
2015,4,22,4651748,1226530,335593,1038.74,
2015,4,23,4651917,1226660,335723,1010.68,
2015,4,24,4652086,1226790,335853,1021.58,
2015,4,25,4652255,1226920,335983,1053.56,
2015,4,26,4652424,1227050,336113,1056.64,
2015,4,27,4652593,1227180,336243,988.63,
2015,4,28,4652762,1227310,336373,1053.49,
2015,4,29,4652931,1227440,336503,1044.69,
2015,4,30,4653100,1227570,336633,1053.43,
2015,5,1,4653269,1227700,336763,1033.71,
2015,5,2,4653438,1227830,336893,1055.72,
2015,5,3,4653607,1227960,337023,1073.24,
2015,5,4,4653776,1228090,337153,1048.78,
2015,5,5,4653945,1228220,337283,1011.97,
2015,5,6,4654114,1228350,337413,1048.64,
2015,5,7,4654283,1228480,337543,1036.64,
2015,5,8,4654452,1228610,337673,1024.28,
2015,5,9,4654621,1228740,337803,1042.05,
2015,5,10,4654790,1228870,337933,1045.86,
2015,5,11,4654959,1229000,338063,1046.89,
2015,5,12,4655128,1229130,338193,1019.77,
2015,5,13,4655297,1229260,338323,1021.4,
2015,5,14,4655466,1229390,338453,1038.77,
2015,5,15,4655635,1229520,338583,1062.28,
2015,5,16,4655804,1229650,338713,1082.64,
2015,5,17,4655973,1229780,338843,1026.79,
2015,5,18,4656142,1229910,338973,1024,
2015,5,19,4656311,1230040,339103,1035.61,
2015,5,20,4656480,1230170,339233,1033.59,
2015,5,21,4656649,1230300,339363,1011.02,
2015,5,22,4656818,1230430,339493,998.96,
2015,5,23,4656987,1230560,339623,967.38,
2015,5,24,4657156,1230690,339753,1066.24,
2015,5,25,4657325,1230820,339883,1081.66,
2015,5,26,4657494,1230950,340013,1055.59,
2015,5,27,4657663,1231080,340143,1052.2,
2015,5,28,4657832,1231210,340273,1027.31,
2015,5,29,4658001,1231340,340403,1017.52,
2015,5,30,4658170,1231470,340533,1028.7,
2015,5,31,4658339,1231600,340663,1052.52,
2015,6,1,4658508,1231730,340793,1027.37,
2015,6,2,4658677,1231860,340923,998.17,
2015,6,3,4658846,1231990,341053,1050.4,
2015,6,4,4659015,1232120,341183,1050.73,
2015,6,5,4659184,1232250,341313,1059.41,
2015,6,6,4659353,1232380,341443,1042.45,
2015,6,7,4659522,1232510,341573,1023.68,
2015,6,8,4659691,1232640,341703,1034.67,
2015,6,9,4659860,1232770,341833,1030.73,
2015,6,10,4660029,1232900,341963,1083.23,
2015,6,11,4660198,1233030,342093,1042.62,
2015,6,12,4660367,1233160,342223,1062.78,
2015,6,13,4660536,1233290,342353,1052.78,
2015,6,14,4660705,1233420,342483,1023.71,
2015,6,15,4660874,1233550,342613,1045.47,
2015,6,16,4661043,1233680,342743,1010.59,
2015,6,17,4661212,1233810,342873,992.48,
2015,6,18,4661381,1233940,343003,1038.35,
2015,6,19,4661550,1234070,343133,1031.14,
2015,6,20,4661719,1234200,343263,1038.82,
2015,6,21,4661888,1234330,343393,1038.31,
2015,6,22,4662057,1234460,343523,1033.59,
2015,6,23,4662226,1234590,343653,1037.9,
2015,6,24,4662395,1234720,343783,872.95,
2015,6,25,4662564,1234850,343913,986.12,
2015,6,26,4662733,1234980,344043,1066.08,
2015,6,27,4662902,1235110,344173,1070.11,
2015,6,28,4663071,1235240,344303,1062.52,
2015,6,29,4663240,1235370,344433,1059.67,
2015,6,30,4663409,1235500,344563,1003.05,
2015,7,1,4663578,1235630,344693,951.2,
2015,7,2,4663747,1235760,344823,990.12,
2015,7,3,4663916,1235890,344953,988.84,
2015,7,4,4664085,1236020,345083,956.99,
2015,7,5,4664254,1236150,345213,960.71,
2015,7,6,4664423,1236280,345343,1011.64,
2015,7,7,4664592,1236410,345473,973.45,
2015,7,8,4664761,1236540,345603,1003.64,
2015,7,9,4664930,1236670,345733,1005.88,
2015,7,10,4665099,1236800,345863,983.43,
2015,7,11,4665268,1236930,345993,976.59,
2015,7,12,4665437,1237060,346123,952.32,
2015,7,13,4665606,1237190,346253,1005.88,
2015,7,14,4665775,1237320,346383,975.68,
2015,7,15,4665944,1237450,346513,950.32,
