Year,Month,Zone,Population,Zone Area (sq km),Residential,Non-Residential-Heavy,Non- Residential-Light,No of Containers,Total garbage weight generation (in Mt)
2013,4,1,424149,8.18,111554,548,60791,3253,8738
2013,5,1,424790,8.18,111672,553,61398,3376,9239
2013,6,1,425252,8.18,111790,558,62011,3228,9309
2013,7,1,425786,8.18,111908,563,62631,3375,9346
2013,8,1,426467,8.18,112026,568,63257,3393,9298
2013,9,1,427236,8.18,112144,573,63889,3314,8761
2013,10,1,428060,8.18,112262,578,64527,3653,10627
2013,11,1,428723,8.18,112380,583,65172,3385,9325
2013,12,1,429316,8.18,112498,588,65823,3403,9409
2014,1,1,429913,8.18,112232,593,66481,3358,9747
2014,2,1,430296,8.18,111966,598,67145,3048,8767
2014,3,1,430805,8.18,111700,603,67816,3385,9728
2014,4,1,431313,8.18,111434,609,68494,3278,9547
2014,5,1,431879,8.18,111168,615,69178,3324,9727
2014,6,1,432399,8.18,110902,621,69869,2840,8647
2014,7,1,432936,8.18,110636,627,70567,3020,8773
2014,8,1,433457,8.18,110370,633,71272,3335,9324
2014,9,1,434169,8.18,110104,639,71984,3119,9141
2014,10,1,434863,8.18,109838,645,72703,3639,10513
2014,11,1,435467,8.18,109572,651,73430,3253,9172
2014,12,1,436106,8.18,109298,657,74164,3280,9873
2015,1,1,436489,8.18,109377,663,74905,3003,8944
2015,2,1,436823,8.18,109456,669,75654,1409,4349
2015,3,1,437194,8.18,109535,675,76410,3328,10047
2015,4,1,437602,8.18,109614,681,77174,3049,9228
2015,5,1,438154,8.18,109693,687,77945,3343,9597
2015,6,1,438597,8.18,109772,693,78724,3356,9839
2015,7,1,439019,8.18,109851,699,79511,3358,9582
2015,8,1,439615,8.18,109930,705,80306,3267,9444
2015,9,1,440310,8.18,110009,712,81109,3368,9443
2015,10,1,440921,8.18,110088,719,81920,3391,9752
2015,11,1,441542,8.18,110167,726,82739,2770,8004
2015,12,1,442047,8.18,110246,733,83566,2789,7616
2016,1,1,442469,8.18,110403,741,84402,2987,8856
2016,2,1,442837,8.18,110560,749,85247,2935,8708
2016,3,1,443246,8.18,110717,757,86100,3562,9861
2016,4,1,443695,8.18,110874,765,86961,1709,5197
2016,5,1,444303,8.18,111031,773,87831,3147,11233
2016,6,1,444791,8.18,111188,781,88710,3137,11307
2016,7,1,445256,8.18,111345,789,89598,2826,8708
2016,8,1,445912,8.18,111502,797,90494,627,1875
2016,9,1,446677,8.18,111659,805,91399,0,0
2016,10,1,447350,8.18,111816,814,92313,0,0
2016,11,1,448034,8.18,111973,823,93237,0,0
2016,12,1,448590,8.18,112129,832,94170,0,0
2017,1,1,442512,8.18,122261,841,95112,0,0
2017,2,1,442917,8.18,132391,850,96064,0,0
2017,3,1,443367,8.18,142523,859,97025,0,0
2013,4,0,1175488,37.525,230732,406,69612,3812,11764
2013,5,0,1177010,37.525,231104,410,70308,3912,12845
2013,6,0,1178250,37.525,231476,414,71011,4045,15311
2013,7,0,1179720,37.525,231848,418,71721,4346,14233
2013,8,0,1181591,37.525,232220,422,72438,4182,13885
2013,9,0,1183264,37.525,232592,426,73162,4107,12927
2013,10,0,1185279,37.525,232964,430,73893,4677,14712
2013,11,0,1186878,37.525,233336,434,74631,3678,9645
2013,12,0,1188514,37.525,233708,438,75377,3926,10790
2014,1,0,1190013,37.525,234566,442,76130,4566,12806
2014,2,0,1191125,37.525,235424,446,76891,4713,11309
2014,3,0,1192461,37.525,236282,450,77659,5284,13425
2014,4,0,1193881,37.525,237140,454,78435,4922,13400
2014,5,0,1195558,37.525,237998,458,79219,4657,12858
2014,6,0,1196819,37.525,238856,462,80011,4241,15068
2014,7,0,1198221,37.525,239714,466,80811,4982,13210
2014,8,0,1199881,37.525,240572,470,81619,4979,13546
2014,9,0,1201840,37.525,241430,474,82435,4538,12819
2014,10,0,1203759,37.525,242288,478,83259,4635,11899
2014,11,0,1205476,37.525,243146,482,84091,2875,9508
2014,12,0,1207272,37.525,244002,486,84931,3728,11495
2015,1,0,1208700,37.525,245053,490,85780,25,21
2015,2,0,1209873,37.525,246104,494,86637,2564,7680
2015,3,0,1211065,37.525,247155,498,87503,4381,12691
2015,4,0,1212518,37.525,248206,502,88378,4245,12864
2015,5,0,1213869,37.525,249257,507,89261,4046,12995
2015,6,0,1215375,37.525,250308,512,90153,4094,16444
2015,7,0,1216928,37.525,251359,517,91054,4357,13082
2015,8,0,1218603,37.525,252410,522,91964,3962,11296
2015,9,0,1220768,37.525,253461,527,92883,4106,12148
2015,10,0,1222707,37.525,254512,532,93811,4465,13987
2015,11,0,1224604,37.525,255563,537,94749,3891,10534
2015,12,0,1226472,37.525,256605,542,95696,4022,10501
2016,1,0,1228043,37.525,257413,548,96653,3733,11725
2016,2,0,1229334,37.525,258221,554,97620,4172,12217
2016,3,0,1230646,37.525,259029,560,98597,4390,12749
2016,4,0,1232245,37.525,259837,566,99583,4274,15566
2016,5,0,1233732,37.525,260645,572,100579,3578,11329
2016,6,0,1235389,37.525,261453,578,101585,4020,15369
2016,7,0,1237098,37.525,262261,584,102601,4392,13392
2016,8,0,1238941,37.525,263069,590,103628,3699,11484
2016,9,0,1241323,37.525,263877,596,104665,4241,14625
2016,10,0,1243456,37.525,264685,602,105712,4459,15110
