ZoneName,Year,Month,Male,Female,Total
West Zone,2012,1,263,248,511
West Zone,2012,2,244,185,429
West Zone,2012,3,226,235,461
West Zone,2012,4,266,220,486
West Zone,2012,5,218,182,400
West Zone,2012,6,265,273,538
West Zone,2012,7,263,227,490
West Zone,2012,8,307,277,584
West Zone,2012,9,283,270,553
West Zone,2012,10,317,308,625
West Zone,2012,11,311,273,584
West Zone,2012,12,307,253,560
Central Zone,2012,1,498,427,925
Central Zone,2012,2,458,392,850
Central Zone,2012,3,519,471,990
Central Zone,2012,4,428,375,803
Central Zone,2012,5,523,450,973
Central Zone,2012,6,463,369,832
Central Zone,2012,7,454,410,864
Central Zone,2012,8,542,494,1036
Central Zone,2012,9,569,494,1063
Central Zone,2012,10,621,544,1165
Central Zone,2012,11,624,503,1127
Central Zone,2012,12,540,458,998
North Zone,2012,1,385,278,663
North Zone,2012,2,359,264,623
North Zone,2012,3,369,286,655
North Zone,2012,4,376,287,663
North Zone,2012,5,393,301,694
North Zone,2012,6,378,286,664
North Zone,2012,7,336,255,591
North Zone,2012,8,549,389,938
North Zone,2012,9,439,309,748
North Zone,2012,10,512,377,889
North Zone,2012,11,485,359,844
North Zone,2012,12,371,296,667
East Zone,2012,1,838,582,1420
East Zone,2012,2,772,603,1375
East Zone,2012,3,881,645,1526
East Zone,2012,4,1060,772,1832
East Zone,2012,5,1002,701,1703
East Zone,2012,6,741,549,1290
East Zone,2012,7,1087,887,1974
East Zone,2012,8,1174,817,1991
East Zone,2012,9,1086,805,1891
East Zone,2012,10,1127,928,2055
East Zone,2012,11,1219,940,2159
East Zone,2012,12,981,755,1736
South Zone,2012,1,544,427,971
South Zone,2012,2,339,258,597
South Zone,2012,3,332,252,584
South Zone,2012,4,417,361,778
South Zone,2012,5,326,299,625
South Zone,2012,6,377,288,665
South Zone,2012,7,383,310,693
South Zone,2012,8,399,295,694
South Zone,2012,9,478,382,860
South Zone,2012,10,491,391,882
South Zone,2012,11,466,327,793
South Zone,2012,12,368,312,680
South West Zone,2012,1,387,312,699
South West Zone,2012,2,466,387,853
South West Zone,2012,3,458,358,816
South West Zone,2012,4,398,357,755
South West Zone,2012,5,460,363,823
South West Zone,2012,6,417,351,768
South West Zone,2012,7,453,388,841
South West Zone,2012,8,475,417,892
South West Zone,2012,9,528,430,958
South West Zone,2012,10,531,469,1000
South West Zone,2012,11,516,439,955
South West Zone,2012,12,617,562,1179
South East Zone,2012,1,278,243,521
South East Zone,2012,2,258,202,460
South East Zone,2012,3,255,224,479
South East Zone,2012,4,275,214,489
South East Zone,2012,5,213,228,441
South East Zone,2012,6,200,206,406
South East Zone,2012,7,240,226,466
South East Zone,2012,8,270,234,504
South East Zone,2012,9,283,258,541
South East Zone,2012,10,284,237,521
South East Zone,2012,11,291,282,573
South East Zone,2012,12,293,226,519
