ZoneName,Year,Month,Male,Female,Total
West Zone,2015,1,113,75,188
West Zone,2015,2,108,98,206
West Zone,2015,3,118,89,207
West Zone,2015,4,102,68,170
West Zone,2015,5,90,79,169
West Zone,2015,6,95,83,178
West Zone,2015,7,98,88,186
West Zone,2015,8,115,88,203
West Zone,2015,9,113,75,188
West Zone,2015,10,116,76,192
West Zone,2015,11,98,59,157
West Zone,2015,12,110,82,192
Central Zone,2015,1,276,164,440
Central Zone,2015,2,207,149,356
Central Zone,2015,3,218,150,368
Central Zone,2015,4,206,158,364
Central Zone,2015,5,224,152,376
Central Zone,2015,6,194,144,338
Central Zone,2015,7,203,139,342
Central Zone,2015,8,205,147,352
Central Zone,2015,9,252,183,435
Central Zone,2015,10,231,156,387
Central Zone,2015,11,227,152,379
Central Zone,2015,12,244,171,415
North Zone,2015,1,126,87,213
North Zone,2015,2,102,81,183
North Zone,2015,3,143,108,251
North Zone,2015,4,102,93,195
North Zone,2015,5,86,91,177
North Zone,2015,6,90,80,170
North Zone,2015,7,94,84,178
North Zone,2015,8,88,79,167
North Zone,2015,9,115,87,202
North Zone,2015,10,115,94,209
North Zone,2015,11,95,74,169
North Zone,2015,12,140,100,240
East Zone,2015,1,229,140,369
East Zone,2015,2,235,128,363
East Zone,2015,3,236,160,396
East Zone,2015,4,235,163,398
East Zone,2015,5,257,143,400
East Zone,2015,6,224,146,370
East Zone,2015,7,243,151,394
East Zone,2015,8,246,156,402
East Zone,2015,9,277,185,462
East Zone,2015,10,290,175,465
East Zone,2015,11,219,125,344
East Zone,2015,12,279,158,437
South Zone,2015,1,76,59,135
South Zone,2015,2,62,51,113
South Zone,2015,3,82,52,134
South Zone,2015,4,75,42,117
South Zone,2015,5,80,42,122
South Zone,2015,6,76,45,121
South Zone,2015,7,80,49,129
South Zone,2015,8,76,46,122
South Zone,2015,9,78,50,128
South Zone,2015,10,83,65,148
South Zone,2015,11,73,43,116
South Zone,2015,12,101,39,140
South West Zone,2015,1,299,179,478
South West Zone,2015,2,227,149,376
South West Zone,2015,3,295,185,480
South West Zone,2015,4,184,108,292
South West Zone,2015,5,279,154,433
South West Zone,2015,6,302,165,467
South West Zone,2015,7,300,153,453
South West Zone,2015,8,275,179,454
South West Zone,2015,9,302,163,465
South West Zone,2015,10,365,204,569
South West Zone,2015,11,279,154,433
South West Zone,2015,12,286,204,490
South East Zone,2015,1,94,49,143
South East Zone,2015,2,74,47,121
South East Zone,2015,3,87,51,138
South East Zone,2015,4,79,51,130
South East Zone,2015,5,73,60,133
South East Zone,2015,6,71,72,143
South East Zone,2015,7,76,67,143
South East Zone,2015,8,79,51,130
South East Zone,2015,9,102,61,163
South East Zone,2015,10,118,68,186
South East Zone,2015,11,84,54,138
South East Zone,2015,12,88,56,144
