Feature Vector,,,,,,,,,,Label Vector,,
Year,Zone,Total paid bills,total generated bills,Income(in thousands),Literacy,Wholly house holds,Vacant house holds,Total house holds,Working Age Group(15-59),AdvPaid,InBillPeriodPaid,AfterBillPeriodPaid
2011,6,118563,136704,559,89.42,142987,21228,164215,67.51,27017,30989,60557
2011,1,129136,148895,531,86.36,125357,21171,146528,67.57,30645,24840,73651
2011,2,144255,166327,536,86.86,80679,31923,112602,68.03,14490,51449,78316
2011,0,233649,269399,526,85.82,151005,27853,178858,69.13,20582,104638,108429
2011,3,159863,184323,541,87.89,257138,48001,305139,68.32,13715,45335,100813
2011,5,99023,114174,553,88.81,79245,25996,105241,69.07,24895,23418,50710
2011,4,142972,164848,547,88.3,152624,26773,179397,68.61,10818,45608,86546
2012,6,139725,161104,594,89.43,147055,20681,167736,67.93,34723,54792,50210
2012,1,128157,147766,566,87.31,131828,20098,151926,67.99,34102,28893,65162
2012,2,163581,188610,571,87.92,78063,35786,113849,68.45,17145,68585,77851
2012,0,259022,298654,561,86.88,148715,28671,177386,69.55,25853,124291,108878
2012,3,181908,209741,576,88.31,287354,49358,336712,68.74,16179,62966,102763
2012,5,110387,127277,588,89.44,98827,25000,123827,69.49,29729,31724,48934
2012,4,158569,182831,582,88.9,155234,25145,180379,69.03,12328,60434,85807
2013,6,88205,101701,642,90.39,147155,22598,169753,68.31,25798,18369,44038
2013,1,133973,154472,609,87.89,132278,23598,155876,68.37,27930,28519,77524
2013,2,182180,210055,615,88.39,79313,36025,115338,68.83,11154,63403,107623
2013,0,242409,279499,603,87.39,149615,26842,176457,69.93,11522,93256,137631
2013,3,168054,193767,621,88.89,300050,46883,346933,69.12,9507,46982,111565
2013,5,90732,104615,635,89.89,99327,24367,123694,69.87,25062,17449,48221
2013,4,177773,204973,628,89.39,156234,24896,181130,69.41,8038,54264,115471
2014,6,109274,125994,697,90.89,147255,21075,168330,68.72,27819,34082,47373
2014,1,121611,140218,664,88.39,132728,19357,152085,68.78,30323,29969,61319
2014,2,166172,191597,670,88.89,80563,34640,115203,69.24,15074,55193,95905
2014,0,272821,314564,658,87.89,150515,25687,176202,70.34,15077,136057,121687
2014,3,173905,200514,676,89.39,300850,45014,345864,69.53,12198,49547,112160
2014,5,99550,114782,690,90.39,99827,22035,121862,70.28,28533,19817,51200
2014,4,177579,204750,683,89.89,157234,25598,182832,69.82,11231,59672,106676
2015,6,110526,127437,765,91.39,147355,18035,165390,69.12,30304,30595,49627
2015,1,116588,134427,727,88.89,133178,18059,151237,69.18,30626,29363,56599
2015,2,196867,226989,734,89.39,81813,33019,114832,69.64,14417,66330,116120
2015,0,285303,328956,720,88.39,151415,21687,173102,70.74,14967,141543,128793
2015,3,212569,245093,741,89.89,301650,46013,347663,69.93,13011,63686,135872
2015,5,115746,133456,757,90.89,100327,23139,123466,70.68,29279,28528,57939
2015,4,220393,254114,749,90.39,158234,23726,181960,70.22,12259,74310,133824
2016,6,104526,120519,847,91.89,147455,17658,165113,69.52,31059,24843,48624
2016,1,101590,117134,804,89.39,133628,19382,153010,69.58,31667,22989,46934
2016,2,211080,243376,812,89.89,83063,32489,115552,70.04,13220,79832,118028
2016,0,260102,299899,796,88.89,152315,23687,176002,71.14,17664,122330,120108
2016,3,223681,257905,820,90.39,302450,47156,349606,70.33,13368,62533,147780
2016,5,114247,131728,838,91.39,100827,22758,123585,71.08,30710,28015,55522
2016,4,176028,202961,829,90.89,159234,22038,181272,70.62,12984,53760,109284
